Temporada,Posicao,Time,Pontos,Saldo de Gols,Jogos,Vitorias,Empates,Derrotas,Gols marcados,Gols sofridos
2006,1,São Paulo FC,78,34,38,22,12,4,66,32
2006,2,Internacional,69,16,38,20,9,9,52,36
2006,3,Grêmio Porto Alegre,67,19,38,20,7,11,64,45
2006,4,Santos FC,64,22,38,18,10,10,58,36
2006,5,Paraná Clube,60,7,38,18,6,14,56,49
2006,6,Vasco da Gama - RJ,59,7,38,15,14,9,57,50
2006,7,Figueirense - SC,57,8,38,15,12,11,52,44
2006,8,Goiás - GO,55,14,38,15,10,13,63,49
2006,9,Corinthians SP,53,-5,38,15,8,15,41,46
2006,10,Cruzeiro,53,7,38,14,11,13,52,45
2006,11,Flamengo RJ,52,-4,38,15,7,16,44,48
2006,12,Botafogo - RJ,51,2,38,13,12,13,52,50
2006,13,Athletico Paranaense,48,-1,38,13,9,16,61,62
2006,14,Juventude - RS,47,-10,38,13,8,17,44,54
2006,15,Fluminense RJ,45,-10,38,11,12,15,48,58
2006,16,Palmeiras,44,-12,38,12,8,18,58,70
2006,17,Ponte Preta,39,-20,38,10,9,19,45,65
2006,18,Fortaleza - CE,38,-23,38,8,14,16,39,62
2006,19,São Caetano - SP,36,-16,38,9,9,20,37,53
2006,20,Santa Cruz - PE,28,-35,38,7,7,24,41,76
2007,1,São Paulo FC,77,36,38,23,8,7,55,19
2007,2,Santos FC,62,10,38,19,5,14,57,47
2007,3,Flamengo RJ,61,6,38,17,10,11,55,49
2007,4,Fluminense RJ,61,18,38,16,13,9,57,39
2007,5,Cruzeiro,60,15,38,18,6,14,73,58
2007,6,Grêmio Porto Alegre,58,1,38,17,7,14,44,43
2007,7,Palmeiras,58,1,38,16,10,12,48,47
2007,8,Atlético Mineiro,55,12,38,15,10,13,63,51
2007,9,Botafogo - RJ,55,4,38,14,13,11,62,58
2007,10,Vasco da Gama - RJ,54,11,38,15,9,14,58,47
2007,11,Internacional,54,5,38,15,9,14,49,44
2007,12,Athletico Paranaense,54,1,38,14,12,12,51,50
2007,13,Figueirense - SC,53,1,38,14,11,13,57,56
2007,14,Sport Recife - PE,51,-1,38,14,9,15,54,55
2007,15,Náutico - PE,49,3,38,14,7,17,66,63
2007,16,Goiás - GO,45,-13,38,13,6,19,49,62
2007,17,Corinthians SP,44,-10,38,10,14,14,40,50
2007,18,Juventude - RS,41,-22,38,11,8,19,43,65
2007,19,Paraná Clube,41,-22,38,11,8,19,42,64
2007,20,América - RN,17,-56,38,4,5,29,24,80
2008,1,São Paulo FC,75,30,38,21,12,5,66,36
2008,2,Grêmio Porto Alegre,72,24,38,21,9,8,59,35
2008,3,Cruzeiro,67,15,38,21,4,13,59,44
2008,4,Palmeiras,65,10,38,19,8,11,55,45
2008,5,Flamengo RJ,64,19,38,18,10,10,67,48
2008,6,Internacional,54,1,38,15,9,14,48,47
2008,7,Botafogo - RJ,53,7,38,15,8,15,51,44
2008,8,Goiás - GO,53,10,38,14,11,13,57,47
2008,9,Coritiba - PR,53,7,38,14,11,13,55,48
2008,10,Vitória - BA,52,4,38,15,7,16,48,44
2008,11,Sport Recife - PE,52,3,38,14,10,14,48,45
2008,12,Atlético Mineiro,48,-11,38,12,12,14,50,61
2008,13,Athletico Paranaense,45,-9,38,12,9,17,45,54
2008,14,Fluminense RJ,45,1,38,11,12,15,49,48
2008,15,Santos FC,45,-9,38,11,12,15,44,53
2008,16,Náutico - PE,44,-10,38,11,11,16,44,54
2008,17,Figueirense - SC,44,-24,38,11,11,16,49,73
2008,18,Vasco da Gama - RJ,40,-16,38,11,7,20,56,72
2008,19,Portuguesa - SP,38,-22,38,9,11,18,48,70
2008,20,Ipatinga FC,35,-30,38,9,8,21,37,67
2009,1,Flamengo RJ,67,14,38,19,10,9,58,44
2009,2,Internacional,65,21,38,19,8,11,65,44
2009,3,São Paulo FC,65,15,38,18,11,9,57,42
2009,4,Cruzeiro,62,5,38,18,8,12,58,53
2009,5,Palmeiras,62,13,38,17,11,10,58,45
2009,6,Avaí - SC,57,9,38,15,12,11,61,52
2009,7,Atlético Mineiro,56,-1,38,16,8,14,55,56
2009,8,Grêmio Porto Alegre,55,21,38,15,10,13,67,46
2009,9,Goiás - GO,55,-1,38,15,10,13,64,65
2009,10,Corinthians SP,52,-4,38,14,10,14,50,54
2009,11,Grêmio Barueri - SP,49,7,38,12,13,13,59,52
2009,12,Santos FC,49,0,38,12,13,13,58,58
2009,13,Vitória - BA,48,-6,38,13,9,16,51,57
2009,14,Athletico Paranaense,48,-7,38,13,9,16,42,49
2009,15,Botafogo - RJ,47,-6,38,11,14,13,52,58
2009,16,Fluminense RJ,46,-7,38,11,13,14,49,56
2009,17,Coritiba - PR,45,-12,38,12,9,17,48,60
2009,18,Santo André - SP,41,-15,38,11,8,19,46,61
2009,19,Náutico - PE,38,-23,38,10,8,20,48,71
2009,20,Sport Recife - PE,31,-23,38,7,10,21,48,71
2010,1,Fluminense RJ,71,26,38,20,11,7,62,36
2010,2,Cruzeiro,69,15,38,20,9,9,53,38
2010,3,Corinthians SP,68,24,38,19,11,8,65,41
2010,4,Grêmio Porto Alegre,63,25,38,17,12,9,68,43
2010,5,Athletico Paranaense,60,-2,38,17,9,12,43,45
2010,6,Botafogo - RJ,59,12,38,14,17,7,54,42
2010,7,Internacional,58,7,38,16,10,12,48,41
2010,8,Santos FC,56,13,38,15,11,12,63,50
2010,9,São Paulo FC,55,0,38,15,10,13,54,54
2010,10,Palmeiras,50,-1,38,12,14,12,42,43
2010,11,Vasco da Gama - RJ,49,-2,38,11,16,11,43,45
2010,12,Ceará - CE,47,-9,38,10,17,11,35,44
2010,13,Atlético Mineiro,45,-12,38,13,6,19,52,64
2010,14,Flamengo RJ,44,-3,38,9,17,12,41,44
2010,15,Avaí - SC,43,-9,38,11,10,17,49,58
2010,16,Atlético Goianiense,42,-6,38,11,9,18,51,57
2010,17,Vitória - BA,42,-6,38,9,15,14,42,48
2010,18,Guarani - SP,37,-20,38,8,13,17,33,53
2010,19,Goiás - GO,33,-27,38,8,9,21,41,68
2010,20,Grêmio Prudente,31,-25,38,7,10,21,39,64
2011,1,Corinthians SP,71,17,38,21,8,9,53,36
2011,2,Vasco da Gama - RJ,69,17,38,19,12,7,57,40
2011,3,Fluminense RJ,63,9,38,20,3,15,60,51
2011,4,Flamengo RJ,61,12,38,15,16,7,59,47
2011,5,Internacional,60,14,38,16,12,10,57,43
2011,6,São Paulo FC,59,11,38,16,11,11,57,46
2011,7,Figueirense - SC,58,1,38,15,13,10,46,45
2011,8,Coritiba - PR,57,16,38,16,9,13,57,41
2011,9,Botafogo - RJ,56,3,38,16,8,14,52,49
2011,10,Santos FC,53,0,38,15,8,15,55,55
2011,11,Palmeiras,50,4,38,11,17,10,43,39
2011,12,Grêmio Porto Alegre,48,-8,38,13,9,16,49,57
2011,13,Atlético Goianiense,48,5,38,12,12,14,50,45
2011,14,Bahia - BA,46,-6,38,11,13,14,43,49
2011,15,Atlético Mineiro,45,-10,38,13,6,19,50,60
2011,16,Cruzeiro,43,-3,38,11,10,17,48,51
2011,17,Athletico Paranaense,41,-17,38,10,11,17,38,55
2011,18,Ceará - CE,39,-17,38,10,9,19,47,64
2011,19,América - MG,37,-18,38,8,13,17,51,69
2011,20,Avaí - SC,31,-30,38,7,10,21,45,75
2012,1,Fluminense RJ,77,28,38,22,11,5,61,33
2012,2,Atlético Mineiro,72,27,38,20,12,6,64,37
2012,3,Grêmio Porto Alegre,71,23,38,20,11,7,56,33
2012,4,São Paulo FC,66,22,38,20,6,12,59,37
2012,5,Vasco da Gama - RJ,58,1,38,16,10,12,45,44
2012,6,Corinthians SP,57,12,38,15,12,11,51,39
2012,7,Botafogo - RJ,55,10,38,15,10,13,60,50
2012,8,Santos FC,53,6,38,13,14,11,50,44
2012,9,Cruzeiro,52,-4,38,15,7,16,47,51
2012,10,Internacional,52,4,38,13,13,12,44,40
2012,11,Flamengo RJ,50,-7,38,12,14,12,39,46
2012,12,Náutico - PE,49,-7,38,14,7,17,44,51
2012,13,Coritiba - PR,48,-7,38,14,6,18,53,60
2012,14,Ponte Preta,48,-7,38,12,12,14,37,44
2012,15,Bahia - BA,47,-4,38,11,14,13,37,41
2012,16,Portuguesa - SP,45,-2,38,10,15,13,39,41
2012,17,Sport Recife - PE,41,-17,38,10,11,17,39,56
2012,18,Palmeiras,34,-15,38,9,7,22,39,54
2012,19,Atlético Goianiense,30,-30,38,7,9,22,37,67
2012,20,Figueirense - SC,30,-33,38,7,9,22,39,72
2013,1,Cruzeiro,76,40,38,23,7,8,77,37
2013,2,Grêmio Porto Alegre,65,7,38,18,11,9,42,35
2013,3,Athletico Paranaense,64,16,38,18,10,10,65,49
2013,4,Botafogo - RJ,61,14,38,17,10,11,55,41
2013,5,Vitória - BA,59,6,38,16,11,11,59,53
2013,6,Goiás - GO,59,4,38,16,11,11,48,44
2013,7,Santos FC,57,13,38,15,12,11,51,38
2013,8,Atlético Mineiro,57,11,38,15,12,11,49,38
2013,9,São Paulo FC,50,-1,38,14,8,16,39,40
2013,10,Corinthians SP,50,5,38,11,17,10,27,22
2013,11,Coritiba - PR,48,-3,38,12,12,14,42,45
2013,12,Bahia - BA,48,-8,38,12,12,14,37,45
2013,13,Internacional,48,-1,38,11,15,12,51,52
2013,14,Criciúma - SC,46,-14,38,13,7,18,49,63
2013,15,Fluminense RJ,46,-4,38,12,10,16,43,47
2013,16,Flamengo RJ,45,-3,38,12,13,13,43,46
2013,17,Portuguesa - SP,44,4,38,12,12,14,50,46
2013,18,Vasco da Gama - RJ,44,-11,38,11,11,16,50,61
2013,19,Ponte Preta,37,-18,38,9,10,19,37,55
2013,20,Náutico - PE,20,-57,38,5,5,28,22,79
2014,1,Cruzeiro,80,29,38,24,8,6,67,38
2014,2,São Paulo FC,70,19,38,20,10,8,59,40
2014,3,Internacional,69,12,38,21,6,11,53,41
2014,4,Corinthians SP,69,18,38,19,12,7,49,31
2014,5,Atlético Mineiro,62,13,38,17,11,10,51,38
2014,6,Grêmio Porto Alegre,61,12,38,17,10,11,36,24
2014,7,Fluminense RJ,61,19,38,17,10,11,61,42
2014,8,Athletico Paranaense,54,1,38,15,9,14,43,42
2014,9,Santos FC,53,7,38,15,8,15,42,35
2014,10,Flamengo RJ,52,-1,38,14,10,14,46,47
2014,11,Sport Recife - PE,52,-10,38,14,10,14,36,46
2014,12,Goiás - GO,47,-2,38,13,8,17,38,40
2014,13,Figueirense - SC,47,-10,38,13,8,17,37,47
2014,14,Coritiba - PR,47,-3,38,12,11,15,42,45
2014,15,Chapecoense,43,-5,38,11,10,17,39,44
2014,16,Palmeiras,40,-25,38,11,7,20,34,59
2014,17,Vitória - BA,38,-17,38,10,8,20,37,54
2014,18,Bahia - BA,37,-12,38,9,10,19,31,43
2014,19,Botafogo - RJ,34,-17,38,9,7,22,31,48
2014,20,Criciúma - SC,32,-28,38,7,11,20,28,56
2015,1,Corinthians SP,81,40,38,24,9,5,71,31
2015,2,Atlético Mineiro,69,18,38,21,6,11,65,47
2015,3,Grêmio Porto Alegre,68,20,38,20,8,10,52,32
2015,4,São Paulo FC,62,6,38,18,8,12,53,47
2015,5,Internacional,60,1,38,17,9,12,39,38
2015,6,Sport Recife - PE,59,15,38,15,14,9,53,38
2015,7,Santos FC,58,18,38,16,10,12,59,41
2015,8,Cruzeiro,55,9,38,15,10,13,44,35
2015,9,Palmeiras,53,9,38,15,8,15,60,51
2015,10,Athletico Paranaense,51,-5,38,14,9,15,43,48
2015,11,Ponte Preta,51,1,38,13,12,13,41,40
2015,12,Flamengo RJ,49,-8,38,15,4,19,45,53
2015,13,Fluminense RJ,47,-9,38,14,5,19,40,49
2015,14,Chapecoense,47,-10,38,12,11,15,34,44
