id,nome_lutador,apelido,sexo,categoria,win,lose,draw,precisao_striking,sig_pe_str,sig_clinch_str,sig_solo_str,method_ko_tko,method_dec,method_fin,golpes_sig_conectados,golpes_sig_absorvidos,media_quedas,media_fin,defesa_golpes_sig,defesa_quedas,media_knockdowns,tempo_medio,sig_head_str,sig_body_str,sig_leg_str,idade_lutador,altura_lutador,peso_lutador,link_corpo,link_rosto
1,nassourdine imavov,The Sniper,M,Peso-médio,16,4,0,0.56,0.7,0.17,0.13,0.44,0.31,0.25,4.45,3.26,0.85,1.14,0.59,0.79,0.19,863,4.81,1.41,0.81,29,75.0,185.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/IMAVOV_NASSOURDINE_L_09-28.png?itok=RNQBrxwa,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-01/IMAVOV_NASSOURDINE_02-01.png?itok=9hmLgkVa
2,benoit saint denis,,M,Peso-leve,14,3,0,0.56,0.59,0.2,0.22,0.29,0.0,0.71,5.39,4.61,4.19,1.54,0.42,0.71,0.88,453,2.08,1.06,0.52,29,71.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/SAINT-DENIS_BENOIT_L_05-10.png?itok=RxtxrWwl,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/SAINT-DENIS_BENOIT_05-10.png?itok=AlFLT8cr
3,bolaji oki,Zulu Warrior,M,Peso-leve,10,2,0,0.45,0.95,0.03,0.02,0.5,0.4,0.1,7.05,4.76,1.24,0.0,0.62,0.86,0.41,545,1.89,0.51,0.16,29,70.0,155.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/OKI_BOLAJI_L_05-31.png?itok=2K-x2xQy,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/OKI_BOLAJI_05-31.png?itok=jywswhec
4,modestas bukauskas,The Baltic Gladiator,M,Peso meio-pesado,18,6,0,0.43,0.88,0.1,0.02,0.56,0.28,0.17,3.26,4.07,0.31,0.16,0.51,0.78,0.16,576,2.23,0.58,0.32,31,75.0,203.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/BUKAUSKAS_MODESTAS_L_05-10.png?itok=ruqp-xv_,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/BUKAUSKAS_MODESTAS_05-10.png?itok=Spb526FJ
5,fares ziam,Smile Killer,M,Peso-leve,17,4,0,0.52,0.7,0.12,0.17,0.35,0.41,0.24,2.85,1.62,1.62,0.25,0.65,0.7,0.12,801,2.23,0.67,0.52,27,73.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/ZIAM_FARES_L_02-01.png?itok=BiJOenDo,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-01/ZIAM_FARES_02-01.png?itok=pW8URKj4
6,oumar sy,,M,Peso meio-pesado,11,1,0,0.5,0.9,0.1,0.0,0.36,0.27,0.36,3.68,1.81,2.22,0.44,0.71,1.0,0.0,674,0.6,0.28,0.36,29,76.0,206.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/SY_OUMAR_L_09-28.png?itok=fhHJLR-D,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/SY_OUMAR_06-14.png?itok=rYq6HCj5
7,marcin tybura,Tybur,M,Peso-pesado,27,9,0,0.49,0.68,0.09,0.23,0.37,0.37,0.26,3.6,3.31,1.39,0.12,0.55,0.75,0.06,675,5.88,1.85,1.18,39,75.0,250.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/TYBURA_MARCIN_L_03-22.png?itok=TYK-aTAG,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/TYBURA_MARCIN_03-22.png?itok=JcZDNkQu
8,andreas gustafsson,Bane,M,Peso Meio-Médio,12,2,0,0.77,0.23,0.62,0.15,0.67,0.17,0.17,5.83,2.79,6.43,0.0,0.46,1.0,0.64,700,0.9,0.32,0.14,34,73.0,170.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-06/GUSTAFSSON_ANDREAS_R_06-07.png?itok=aC8jPXU-,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/GUSTAFSSON_ANDREAS_06-07.png?itok=YPGMbo9r
9,william gomis,Jaguar,M,Peso-pena,14,3,0,0.52,0.87,0.12,0.01,0.5,0.43,0.07,3.53,2.86,0.62,0.41,0.61,0.74,0.0,868,1.06,0.69,0.8,27,72.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/GOMIS_WILLIAM_L_09-28.png?itok=CxcnUfFN,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/GOMIS_WILLIAM_03-01.png?itok=xlU-NiFL
10,sam patterson,,M,Peso Meio-Médio,13,2,1,0.41,0.88,0.07,0.05,0.38,0.08,0.54,3.17,3.6,1.61,3.23,0.49,0.33,0.81,223,0.47,0.05,0.07,28,75.0,170.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-07/PATTERSON_SAM_L_07-27.png?itok=LJHMaEAB,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/PATTERSON_SAM_03-01.png?itok=vVw4yDMH
