Ano,Posição,Música,Streams
2009,1,Pitbull - I Know You Want Me (Calle Ocho) (Official Video) [Ultra Records],"89,834,120"
2009,2,Miley Cyrus - The Climb,"68,142,785"
2009,3,Miley Cyrus - Party In The U.S.A. (Official Video),"64,585,584"
2009,4,Jizz In My Pants,"60,572,501"
2009,5,Miley Cyrus - 7 Things,"52,209,509"
2009,6,I'm On A Boat (ft. T-Pain) - Album Version,"40,001,322"
2009,7,Alejandro Aranda - Friends (Official Video),"36,400,936"
2009,8,"Daddy Yankee ""Llamado De Emergencia"" Soundtrack Talento de Barrio Â© El Cartel Records","35,867,046"
2009,9,Eminem - Lose Yourself,"35,177,722"
2009,10,Vanessa Hudgens - Say OK (Official Video),"34,395,292"
2009,11,Carlos Baute - Colgando en tus manos (con Marta Sanchez),"34,336,645"
2009,12,Armin van Buuren feat. Sharon den Adel - In And Out Of Love (Official Music Video),"33,494,700"
2009,13,Lady Gaga - Bad Romance (Official Music Video),"32,922,579"
2009,14,Enrique Iglesias - Takin' Back My Love feat. Ciara,"32,486,989"
2009,15,New Divide (Official Music Video) [4K Upgrade] - Linkin Park,"32,381,883"
2009,16,Jason Mraz - I'm Yours (Official Video) [4K Remaster],"31,800,990"
2009,17,The Gummy Bear Song - Long English Version,"30,891,106"
2009,18,Demi Lovato - La La Land (Closed-Captioned),"30,291,740"
2009,19,Basshunter - Now You're Gone | Ministry of Sound,"27,277,929"
2009,20,Al Final (Video Oficial) - Lilly Goodman,"26,813,620"
2009,21,Coldplay - Viva La Vida (Official Video),"26,156,322"
2009,22,Vanessa Hudgens - Sneakernight (Official Video),"26,145,198"
2009,23,GummibÃ¤r - CHO KA KA O - French music video,"25,264,421"
2009,24,The Verve - Bitter Sweet Symphony,"24,524,035"
2009,25,Like A Boss (ft. Seth Rogen) - Uncensored Version,"23,759,212"
2009,26,"DJ KHALED, AKON & TI ""We Takin' Over""","22,604,766"
2009,27,Lily Allen | The Fear (Official Video - Explicit Version),"21,605,311"
2009,28,Oasis - Wonderwall (Official Video),"21,195,550"
2009,29,Jason Derulo - Whatcha Say [Official Music Video],"20,654,944"
2009,30,Miley Cyrus - Start All Over,"18,024,345"
2009,31,Bryan Adams - Please Forgive Me (Official Music Video),"17,710,530"
2009,32,Je m'appelle Funny Bear - Full French Version - Gummy Bear Song,"17,637,226"
2009,33,Kid Cudi vs. Crookers - Day 'n' Night (Official Video),"16,225,266"
2009,34,The Gummy Bear Song With Lyrics - GummibÃ¤r The Gummy Bear,"15,794,460"
2009,35,Guru Josh Project - Infinity (Klaas Vocal Mix) [Ultra Records],"15,229,691"
2009,36,Basshunter - Now You're Gone (Ultra Music),"14,504,306"
