Year,Track,Artist,Album,Duration (s),Genres,Track ID,Release Date,Popularity
2009,I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,237,Unknown,13plQdOoWSSXPRUSZc5FuM,2009-08-27,76
2009,The Climb,Miley Cyrus,The Time Of Our Lives (International Version),234,Unknown,5x5JM1BSB6vollcIzDocqT,2009-01-01,75
2009,Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version),202,Unknown,3E7dfMvvCLUddWissuqMwr,2009-01-01,82
2009,Jizz In My Pants,The Lonely Island,Incredibad,151,comedy,0WnUB48NWIl4R96uGuF2XQ,2009,55
2009,7 Things - Single Version,Miley Cyrus,Breakout,213,Unknown,5ecZWU5uQOiCVSnPxBZNmT,2008-01-01,65
2009,I'm On A Boat,"The Lonely Island, T-Pain",Incredibad,156,comedy,3IQSYqnKsCTMLWn2xE3HFT,2009,57
2009,Friends,Alejandro Aranda,The Act of Forgiveness,266,Unknown,4rJc49zdzmMkBTPDsSgbcw,2021-08-27,14
2009,Llamado de Emergencia,Daddy Yankee,Talento de Barrio,239,"reggaeton, latin",47cVjB6QKLkV8RgzGLNJOU,2008-07-29,75
2009,Lose Yourself,Eminem,Just Lose It,322,"rap, hip hop",1v7L65Lzy0j0vdpRjJewt1,2004-01-01,82
2009,Say OK,Vanessa Hudgens,V,221,Unknown,73qbBlEAcm2HfnAaSnP1II,2006-01-01,59
2009,Colgando en tus manos (con Marta Sánchez),"Carlos Baute, Marta Sánchez",De mi puño y letra - Edicion Coleccionista,230,latin pop,3UI9I3e1g1y5T3SMfdgfGO,2009,80
2009,In And Out Of Love,"Rivo, Armin van Buuren, Sharon Den Adel",In And Out Of Love,226,"afro house, melodic techno, melodic house",64fEHUyea9EqtAkmwqxFrr,2024-06-28,57
2009,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),294,"art pop, pop",0SiywuOBRcynK0uKGWdCnn,2009-11-05,86
2009,Takin' Back My Love,"Enrique Iglesias, Ciara",Greatest Hits,230,"latin pop, latin",0aPhnPWgYWk9XGezDHCLF3,2008-01-01,55
2009,New Divide,Linkin Park,Transformers: Revenge Of The Fallen The Album,268,"nu metal, rap metal, rock, alternative metal",6Wx88Mv6b9ofjKMKkdwOJd,2009-06-12,72
2009,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),242,"soft pop, acoustic pop",3S0OXQeoh0w6AY8WQVckRW,2008-05-01,81
2009,The Gummy Bear Song Spanish (Yo Soy Tu Gominola),Gummibär,The Gummy Bear Song Around the World,190,children's music,4W960ZptPsutzziVfweVOr,2018-11-16,57
2009,La La Land,Demi Lovato,Don't Forget,196,Unknown,0M9VqYG0wVun054JIdwFO8,2008-01-01,60
2009,Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit,"Basshunter, DJ Mental Theos Bazzheadz",Now You're Gone - The Album,148,"eurodance, europop",5Nr1ZcH9PGTiQdGl9HCCS1,2008-01-15,69
2009,Al Final,Lilly Goodman,Sin Miedo a Nada,243,"christian, worship",5qM3CXQgoHVdzTMCIPb1xK,2008-12-15,65
2009,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,242,Unknown,1mea3bSkSGXuIRvnydlB5b,2008-06-06,89
2009,Sneakernight - Single Version,Vanessa Hudgens,Identified,179,Unknown,5qaxeIJLARExwa34d9TuYp,2008-01-01,47
2009,Cho Ka Ka O,Gummibär,I Am Your Gummy Bear,190,children's music,0lhs3C97RFSJqAyzq2BlgQ,2007-11-13,37
2009,Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),357,"britpop, shoegaze",57iDDD9N9tTWe75x6qhStw,1997-09-29,84
2009,Like A Boss,The Lonely Island,Incredibad,106,comedy,23tFXzIrL3esi2ECP8mprj,2009,51
2009,The Fear,Lily Allen,"It's Not Me, It's You",207,Unknown,7lIyBKp2KX7ABDjDfo9EtL,2009-02-06,55
2009,Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],258,"britpop, madchester, rock",5qqabIl2vWzo9ApSC317sa,1995-10-02,79
2009,Whatcha Say,Jason Derulo,Jason Derulo (International),221,Unknown,7xkQdy0cy5ymoWT7nedvLz,2010-02-26,74
2009,Start All Over,Miley Cyrus,Meet Miley Cyrus,207,Unknown,3gZ8DvqnrOx3WQRAjCRSIt,2007-06-26,48
2009,Please Forgive Me (Classic Version),Bryan Adams,Classic,312,Unknown,6PpkGvvtmLahruv3sttVzw,2022-04-01,60
2009,The Gummy Bear Song French (Je m'appelle Funny Bear),Gummibär,The Gummy Bear Song Around the World,195,children's music,1HsdBuea1mMOHyngZmpJhH,2018-11-16,36
2009,Day 'n Nite - Crooker's 'At Night' Dub,"Kid Cudi, Crookers",Day 'n Nite,280,Unknown,1ptU0v1wEbKryU06rdWzUr,2008-01-01,24
2009,The Gummy Bear Song Spanish (Yo Soy Tu Gominola),Gummibär,The Gummy Bear Song Around the World,190,children's music,4W960ZptPsutzziVfweVOr,2018-11-16,57
2009,Infinity 2008 - Klaas Vocal Edit,"Guru Josh Project, Klaas",Infinity 2008,192,Unknown,3aQz0z86zrKjd1mcZlonxE,2008-05-07,77
2009,All I Ever Wanted - Radio Edit,Basshunter,Now You're Gone - The Album,176,"eurodance, europop",2PTvik6EqPAIYOclAB3SU8,2008-01-15,70
2009,Supermassive Black Hole,Muse,Black Holes and Revelations,212,"alternative rock, rock",3lPr8ghNDBLc2uZovNyLs9,2006-06-19,82
2009,Pose,Daddy Yankee,Talento de Barrio,217,"reggaeton, latin",4fJWoaQqGZwp3quw9OpLMe,2008-07-29,73
2009,When Love Takes Over (feat. Kelly Rowland),"David Guetta, Kelly Rowland",One More Love,191,"edm, dance",0GWGZA5mxo9nHuSyrj70uo,2010-11-22,75
2009,Somos de Calle - Remix,"Daddy Yankee, Voltio, Arcángel, MC Ceja, Baby Rasta, Guelo Star, Ñejo, Cosculluela, Chyno Nyno",Somos de Calle (Remix),390,"reggaeton, latin",3mXXWUUOhp3lcixp82bXuO,2008-08-15,2
2009,Stereo Love,"Edward Maya, Vika Jigulina",Stereo Love,184,Unknown,1AguHaKOuggrVTebp7cZEI,2010-02-02,67
2009,Chocolate Rain,Tay Zonday,Chocolate Rain,288,Unknown,3sJ1HwrSpTVosPhJHFbRLK,2010-01-09,42
2009,S.O.S.,Jonas Brothers,Jonas Brothers,153,Unknown,6sDP4912wjwB7BJhbSnjS1,2007-01-01,64
2009,Amaranth,Nightwish,Dark Passion Play,231,"symphonic metal, gothic metal, power metal, symphonic rock, melodic metal, metal, folk metal",0RsOUnm1wNpbXxZ8a4abOP,2007-09-26,65
2009,When You Look Me In The Eyes,Jonas Brothers,Jonas Brothers,249,Unknown,4kf33kU0KAlkNBK9pNbYNU,2007-01-01,63
2009,Low (feat. T-Pain),"Flo Rida, T-Pain",Mail on Sunday,231,Unknown,0CAfXk7DXMnon4gLudAp7J,2008-03-17,85
2009,Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,"David Guetta, Chris Willis, Fred Riesterer, Joachim Garraud",Pop Life,199,"edm, dance",2MGRnjJc7C0z3EOEWRqcMw,2007-06-01,66
2009,Nuki Nuki (The Nuki Song),Gummibär,La La Love To Dance,147,children's music,6mijdF5gzHSWjga5sCEqgS,2010-03-09,45
2009,Not Fair,Lily Allen,"It's Not Me, It's You",202,Unknown,1cDRpJiJa94Voj0Ayc9iGJ,2009-02-06,55
2009,What's Love Got to Do with It - 2015 Remaster,Tina Turner,Private Dancer (30th Anniversary Issue),230,Unknown,3ErsOxqe2RmXkR65wkygDz,1984-05-29,73
2009,Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,195,"edm, dance",2dGxjfhFXDIUX9h5ImyKkE,2010-11-22,82
2009,Teenagers,My Chemical Romance,The Black Parade,161,"emo, pop punk, emo pop",7j31rVgGX9Q2blT92VBEA0,2006-10-20,81
2009,So Fine,Sean Paul,Imperial Blaze,211,dancehall,3qdVKNSeUOiBoFDPv75LrN,2009-08-14,52
2009,Volver,Maxime Rodriguez,"Symphonie sur glace, vol. 2 (Musique pour patinage artistique)",162,tango,5xzmHt7bPC4XXYsENYFwtP,2014,20
2009,Amplifier,Imran Khan,Unforgettable,232,"bhangra, desi, punjabi pop, punjabi hip hop, desi hip hop, desi pop, bollywood",3f8t2LZGYtdNQh8SNEiZcG,2009-07-27,69
2009,Hot,INNA,Hot,217,europop,7F1lHcpnTycnimQrCxDFI5,2010,73
2009,¿Qué Tengo Que Hacer?,Daddy Yankee,Talento de Barrio,218,"reggaeton, latin",4NrkWnKlKhyTpYhnmT7sFF,2008-07-29,73
2009,The Best,Tina Turner,Foreign Affair,329,Unknown,6pPWRBubXOBAHnjl5ZIujB,1989-09-13,75
2009,Haven't Met You Yet,Michael Bublé,Crazy Love,244,christmas,4fIWvT19w9PR0VVBuPYpWA,2009-10-06,72
2009,Bye Bye Beautiful,Nightwish,Dark Passion Play,254,"symphonic metal, gothic metal, power metal, symphonic rock, melodic metal, metal, folk metal",6K03JHEberhdFjgZvFYcfs,2007-09-26,59
2009,Chicken Fried,Zac Brown Band,The Foundation,238,"country, acoustic country",0LQtEJt7x0s6knb6RKdRYc,2008-11-17,78
2009,Infinity 2008 - Klaas Vocal Edit,"Guru Josh Project, Klaas",Infinity 2008,192,Unknown,3aQz0z86zrKjd1mcZlonxE,2008-05-07,77
2009,Su Veneno,Aventura,The Last,240,"bachata, bachata pop",709hAukJxapqTU9VhsiQm0,2009-06-09,70
2009,Alles neu,Peter Fox,Stadtaffe,260,german pop,5hqxBvQJ3XJDSbxT9vyyqA,2008-09-26,69
2009,Famous Last Words,My Chemical Romance,The Black Parade,299,"emo, pop punk, emo pop",2d6m2F4I7wCuAKtSsdhh83,2006-10-20,74
2009,It Wasn't Me,"Shaggy, Rik Rok",Hot Shot,227,reggae,3WkibOpDF7cQ5xntM1epyf,2000-08-08,81
2009,Crazy,Gnarls Barkley,St. Elsewhere,177,Unknown,1vxw6aYJls2oq3gW0DujAo,2006-04-24,77
2009,Le Pese a Quien Le Pese,Vicente Fernández,El Hijo Del Pueblo,191,"mariachi, ranchera, música mexicana, bolero, banda, norteño",3mf2WfT8APUuwEGBh7w1ht,1967,60
2009,Lollipop,"2NE1, BIGBANG",2NE1 1st Mini Album,188,k-pop,2eDGx6nbrznlTmf6YMjrRi,2009-07-08,51
2009,Life in Technicolor ii,Coldplay,Viva La Vida (Prospekt's March Edition),245,Unknown,7H7NI75DdeaOW7c70oYtjM,2008-11-24,52
2009,Dígale,David Bisbal,Corazon Latino,262,latin pop,5OKrgU6UuGMp4sGRxv1JH2,2002-01-01,73
2009,Mi Historia Entre Tus Dedos - Remastered 2020,Gianluca Grignani,Destino Paraiso (25th Anniversary Edition / Remastered 2020),308,"rock en español, italian singer-songwriter",3UgduSS2bCMmatRox69u3g,1995,77
2009,Love Generation - Edit,"Bob Sinclar, Gary Pine",Love Generation (Edit),204,"french house, disco house",7iee007QypdrTXbLVF5KuF,2005-06-20,74
2009,The Scientist,Coldplay,A Rush of Blood to the Head,309,Unknown,75JFxkI2RXiU7L9VXzMkle,2002-08-27,90
2009,Yellow,Coldplay,Parachutes,266,Unknown,3AJwUDP919kvQ9QcozQPxg,2000-07-10,92
2009,Waking Up In Vegas,Katy Perry,One Of The Boys,199,pop,28RZ8tNiWmTYISN51VpnNO,2008-06-17,50
2009,Violet Hill,Coldplay,Viva La Vida or Death and All His Friends,222,Unknown,1ZqHjApl3pfzwjweTfMi0g,2008-06-06,66
2009,Por Amar A Ciegas,Arcángel,El Fenomeno,234,"reggaeton, trap latino, urbano latino",2BrfJdTXohQRtWBKsBTIp0,2008-12-08,71
2009,Don't Look Back in Anger - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],289,"britpop, madchester, rock",0UvCh63URrLFcPkKt99hHd,1995-10-02,74
2009,Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,183,"indie, garage rock",2x8evxqUlF0eRabbW2JBJd,2007-04-22,79
2009,Tears in Heaven,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),271,"blues, blues rock, classic rock",1kgdslQYmeTR4thk9whoRw,1992-01-10,74
2009,The Gummy Bear Song Spanish (Yo Soy Tu Gominola),Gummibär,The Gummy Bear Song Around the World,190,children's music,4W960ZptPsutzziVfweVOr,2018-11-16,57
2009,The Gummy Bear Song German (Ich Bin Dein Gummibär),Gummibär,The Gummy Bear Song Around the World,189,children's music,3AOQrCUPSsgrcNNgsXPNMi,2018-11-16,49
2009,Pa' Que La Pases Bien,Arcángel,El Fenomeno,214,"reggaeton, trap latino, urbano latino",1pLCpA1RN8avJxSD3ZCwhj,2008-12-08,80
2009,"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams,18 Til I Die,291,Unknown,32Gf5A7Hr8RdgggXG0Fdks,1996-06-04,74
2009,When I See U,Fantasia,Fantasia,217,r&b,4iuNZTcvT9diFySSzVsnVS,2006-12-09,72
2009,Por un Segundo,Aventura,The Last,255,"bachata, bachata pop",2MioxSroS0g1mi24LLfcnq,2009-06-09,79
2009,Y.M.C.A,Village People,83 Seoul International Song Festival,307,Unknown,2MtwLMtwLU17payh5C4fYG,1983-10-07,25
