Professor,Artigo
GLEDSON ELIAS DA SILVEIRA,Nenhuma publicação encontrada
GUIDO LEMOS DE SOUZA FILHO,Ginga-J: the procedural middleware for the Brazilian digital TV system
GUIDO LEMOS DE SOUZA FILHO,Interactive television in brazil: System software and the digital divide
GUIDO LEMOS DE SOUZA FILHO,An approach to generate and embed sign language video tracks into multimedia contents
GUIDO LEMOS DE SOUZA FILHO,O impacto das mídias digitais na televisão brasileira: queda da audiência e aumento do faturamento
GUIDO LEMOS DE SOUZA FILHO,FlexTV–Uma Proposta de Arquitetura de Middleware para o Sistema Brasileiro de TV Digital
GUIDO LEMOS DE SOUZA FILHO,CineAD: a system for automated audio description script generation for the visually impaired
GUIDO LEMOS DE SOUZA FILHO,TVGrid: A Grid Architecture to use the idle resources on a Digital TV network
GUIDO LEMOS DE SOUZA FILHO,Extended features for the Ginga-NCL environment: Introducing the LuaTV API
GUIDO LEMOS DE SOUZA FILHO,Just in time clouds: Enabling highly-elastic public clouds over low scale amortized resources
GUIDO LEMOS DE SOUZA FILHO,Automatic generation of Brazilian sign language windows for digital TV systems
GUIDO LEMOS DE SOUZA FILHO,Versioning Support in the HyperProp System
GUIDO LEMOS DE SOUZA FILHO,ICSPACE—An Internet Cultural Space
GUIDO LEMOS DE SOUZA FILHO,"A3TV: anytime, anywhere and by anyone TV"
GUIDO LEMOS DE SOUZA FILHO,Estendendo o uso das classes de dispositivos Ginga-NCL
GUIDO LEMOS DE SOUZA FILHO,A component model proposal for embedded systems and its use to add reconfiguration capabilities to the FlexTV middleware
GUIDO LEMOS DE SOUZA FILHO,Uma arquitetura de serviço para avaliação de contextos em redes de TV Digital
GUIDO LEMOS DE SOUZA FILHO,"Sharing virtual acoustic spaces over interactive TV programs-presenting"" Virtual Cheering"" application"
GUIDO LEMOS DE SOUZA FILHO,Machine generation of audio description for blind and visually impaired people
GUIDO LEMOS DE SOUZA FILHO,Improving biometrics authentication with a multi-factor approach based on optical interference and chaotic maps
GUIDO LEMOS DE SOUZA FILHO,CineAD: Um Sistema de Geração Automática de Roteiros de Audiodescrição
GUIDO LEMOS DE SOUZA FILHO,Arte e tecnologia: Lições aprendidas com a realização de performances artísticas baseadas na distribuição de conteúdo multimídia
GUIDO LEMOS DE SOUZA FILHO,Towards an open platform for machine translation of spoken languages into sign languages
GUIDO LEMOS DE SOUZA FILHO,A solution for transmitting and displaying UHD 3D raw videos using lossless compression
GUIDO LEMOS DE SOUZA FILHO,A software-based solution for distributing and displaying 3d uhd films
GUIDO LEMOS DE SOUZA FILHO,Uma Ferramenta para Gerenciamento e Transmissão de Fluxos de Vídeo em Alta Definição para Telemedicina
GUIDO LEMOS DE SOUZA FILHO,Desenvolvimento de programas de TVDI explorando as funções inovadoras do GINGA-J
GUIDO LEMOS DE SOUZA FILHO,Graphical structured-editing of multimedia documents with temporal and spatial constraint
GUIDO LEMOS DE SOUZA FILHO,Using semantic rules database to dynamically set up the ICSpace virtual building
GUIDO LEMOS DE SOUZA FILHO,Using information and communication technologies (ICTs) to solve the repressed demand for primary dental care in the Brazilian Unified Health System due to the COVID-19 …
GUIDO LEMOS DE SOUZA FILHO,Integration of Fogo Player and SAGE (Scalable Adaptive Graphics Environment) for 8K UHD Video Exhibition
GUIDO LEMOS DE SOUZA FILHO,H-N2N-Uma solução escalável para ambientes virtuais colaborativos massivos
GUIDO LEMOS DE SOUZA FILHO,Comparando algoritmos genéticos e transgenéticos para otimizar a configuração de um serviço de distribuição de vídeo baseado em replicação móvel
GUIDO LEMOS DE SOUZA FILHO,FleXLIBRAS: Description and animation of signs in brazilian sign language
GUIDO LEMOS DE SOUZA FILHO,Ginga-J: Implementação de Referência do Ambiente Imperativo do Middleware Ginga
GUIDO LEMOS DE SOUZA FILHO,Incorporating 3d technologies to the brazilian dtv standard: a study of integration strategies based on middleware ginga
GUIDO LEMOS DE SOUZA FILHO,An architecture to generate automatic Brazilian sign language legends into Digital Television Systems
GUIDO LEMOS DE SOUZA FILHO,Using agents for improving multimidia virtual environments personalization
GUIDO LEMOS DE SOUZA FILHO,Design da Interface do Sistema de Vídeo Sob Demanda da Rede NatalNet
GUIDO LEMOS DE SOUZA FILHO,Collaborative learning in digital journalism: Using JCollab for journalists’ education
GUIDO LEMOS DE SOUZA FILHO,A strategy of multimedia reflectors to encryption and codification in real time
GUIDO LEMOS DE SOUZA FILHO,Uma Ferramenta de Autoria para Aplicações NCL e NCLua: uma Abordagem Orientada a Templates e com Suporte a Serviços Web
GUIDO LEMOS DE SOUZA FILHO,Towards a generative software development approach for rapid prototyping iDTV applications
GUIDO LEMOS DE SOUZA FILHO,A formal language to describe and animate signs in brazilian sign language
GUIDO LEMOS DE SOUZA FILHO,eScience-as-a-Service: Desafios e Oportunidades para a Criação de Nuvens Científicas
GUIDO LEMOS DE SOUZA FILHO,A multi-stream tool to support transmission in surgery applied to telemedicine
GUIDO LEMOS DE SOUZA FILHO,JCollab: Uma Ferramenta para Produção e Distribuição de Telejornais no Contexto da Web 2.0
GUIDO LEMOS DE SOUZA FILHO,A management and configuration infrastructure for RNP’s digital video distribution service
GUIDO LEMOS DE SOUZA FILHO,"A multi factor authentication approach based on biometrics, optical interference and chaotic maps"
GUIDO LEMOS DE SOUZA FILHO,Experiences with Arthron for live surgery transmission in Brazilian Telemedicine University network
GUIDO LEMOS DE SOUZA FILHO,A tecnologia ginga como elemento de integração latino-americana
GUIDO LEMOS DE SOUZA FILHO,Desenvolvimento de Aplicações Imperativas para TV Digital no middleware Ginga com Java
GUIDO LEMOS DE SOUZA FILHO,Metaheurísticas aplicadas à geraçao de carrossel no sistema brasileiro de TV Digital
GUIDO LEMOS DE SOUZA FILHO,"Dynavideo Conference System, um sistema de videoconferência H. 323 WebMedia & LA-WEB 2004"
GUIDO LEMOS DE SOUZA FILHO,Um Framework para provisão de Qualidade de Serviço em redes IP
GUIDO LEMOS DE SOUZA FILHO,Sincronismo na modelagem e execução de apresentações de documentos multimídia
GUIDO LEMOS DE SOUZA FILHO,Synchronization Aspects of a Presentation Model for Hypermedia Documents with Composite Nodes
GUIDO LEMOS DE SOUZA FILHO,R&D Progress on TV 3.0 Application Coding Layer
GUIDO LEMOS DE SOUZA FILHO,Uma Abordagem Dirigida por Modelos para Integração de Aplicações Interativas e Serviços Web: Estudo de Caso na Plataforma de TV Digital
GUIDO LEMOS DE SOUZA FILHO,Uma proposta de telejornal educativo interativo
GUIDO LEMOS DE SOUZA FILHO,THOTH-A Framework for Building Secure TV Broadcasters Networks over the Internet
GUIDO LEMOS DE SOUZA FILHO,J. D-VoD--Usando um Serviço de Armazenamento em Rede para Distribuir Vídeo sob Demanda
GUIDO LEMOS DE SOUZA FILHO,Applying HCI Methods and Techniques to Design a VoD System User Interface
GUIDO LEMOS DE SOUZA FILHO,SMMM-a Secure MultiMedia Mail system
GUIDO LEMOS DE SOUZA FILHO,Anchors and Links for Nested Composite Nodes.
GUIDO LEMOS DE SOUZA FILHO,ODesenvolvimento DE UM CENTRO CULTURAL VIRTUAL NA INTERNET
GUIDO LEMOS DE SOUZA FILHO,Videocolaboração nas ações de Televisita no Hospital Militar de Área de São Paulo (HMASP) para apoio familiar no combate ao COVID-19: estudo de caso
GUIDO LEMOS DE SOUZA FILHO,CineLibras: Automatic Generation and Distribution of Libras Tracks for Digital Cinema Platforms
GUIDO LEMOS DE SOUZA FILHO,iTV Visual Design: Uma Ferramenta para Desenvolvimento Visual de Aplicacões Java para o Padrão Brasileiro de TV Digital
GUIDO LEMOS DE SOUZA FILHO,"Tópicos em sistemas colaborativos, interativos, multimídia, web e banco de dados"
GUIDO LEMOS DE SOUZA FILHO,Identificação do perfil individual intelectual do Educando no Ambiente Virtual de Aprendizagem EDULIVRE
GUIDO LEMOS DE SOUZA FILHO,RNPTV: Um Serviço para Integração e Distribuição de Canais de TV através da Internet
GUIDO LEMOS DE SOUZA FILHO,Aplicação da Meta-heurística Simulated Annealing para Otimização do Posicionamento de MCU's em uma Rede de Videoconferência Multiponto Centralizada
GUIDO LEMOS DE SOUZA FILHO,Accessible computing
GUIDO LEMOS DE SOUZA FILHO,"Video for health (V4H) platform. A secure video suite platform for online care, Teleconsultation and tele-orientation"
GUIDO LEMOS DE SOUZA FILHO,We Need to Talk About Digital Preservation of Audiovisual Collections: Strategies for Building National Networks
GUIDO LEMOS DE SOUZA FILHO,The Impact of Digital Media on Brazilian TV: Ratings Drop and Higher Turnover
GUIDO LEMOS DE SOUZA FILHO,Using video embedded markings for supporting content sensitive interaction in multiple contexts
GUIDO LEMOS DE SOUZA FILHO,GingaSpace: a solution to execute multidevice applications on broadband TV systems
GUIDO LEMOS DE SOUZA FILHO,OddCI-Ginga: Uma Plataforma para Computação de Alta Vazão baseada em Receptores de TV Digital
GUIDO LEMOS DE SOUZA FILHO,Security Strategies for Transmission of High Definition Media Streams
GUIDO LEMOS DE SOUZA FILHO,VestibaTV–An Interactive Program for Vestibular Training
GUIDO LEMOS DE SOUZA FILHO,TVGrid: computaçao em grid utilizando recursos de uma rede de TV digital
GUIDO LEMOS DE SOUZA FILHO,Uma proposta de interface de usuário para Web 2.0
GUIDO LEMOS DE SOUZA FILHO,Experiences from the use of a shared multimedia space for e-learning in Brazil primary schools
GUIDO LEMOS DE SOUZA FILHO,Uma análise de metadados de tvd para suporte a informaçoes de serviço no middleware ginga
GUIDO LEMOS DE SOUZA FILHO,Uma Ferramenta de Configuração e Gerenciamento de Serviços de Distribuição de Vídeo Digital
GUIDO LEMOS DE SOUZA FILHO,Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa
GUIDO LEMOS DE SOUZA FILHO,Uma metaheurística GRASP para configuração de um serviço de distribuição de vídeo baseado em replicação móvel
GUIDO LEMOS DE SOUZA FILHO,DynaVideo–Um Serviço de Distribuição de Vídeo baseado em Configuração Dinâmica
GUIDO LEMOS DE SOUZA FILHO,Propagação e Proliferação de Versões em Modelos Conceituais Hipermídia com Composições
GUIDO LEMOS DE SOUZA FILHO,Edição e execução de apresentações de documentos hipermídia no HyperProp
GUIDO LEMOS DE SOUZA FILHO,BemTV: Arquitetura Híbrida CDN/Peer-to-Peer Para Distribuição de Videos ao Vivo na Internet
GUIDO LEMOS DE SOUZA FILHO,Colaboración electrónica en el periodismo digital: una aplicación de la herramienta Jcollab para la formación de periodistas
GUIDO LEMOS DE SOUZA FILHO,Redação integrada: desafios e perspectivas da convergência
GUIDO LEMOS DE SOUZA FILHO,A Software-Based Solution for Distributing and Displaying UHD Video Content over Packet Networks with Applications to Telemedicine and Culture
