Artigo,Autores
1,GG Doronin; NA Larkin; AJ Souza
2,Arthur V Azevedo; Aparecido J de Souza; Frederico Furtado; Dan Marchesin; Bradley Plohr
3,A de Souza
4,Anna Ghazaryan; Yuri Latushkin; Stephen Schecter; Aparecido J de Souza
5,Grigori Chapiro; Alexei A Mailybaev; Aparecido J de Souza; Dan Marchesin; Johannes Bruining
6,AV Azevedo; AJ de Souza; Frederico Furtado; Dan Marchesin
7,AJ De Souza
8,Aparecido J de Souza; IY Akkutlu; D Marchesin
9,G Chapiro; AA Mailybaev; D Marchesin; AJ Souza
10,PL Andrade; AJ de Souza; F Furtado; D Marchesin
11,Patrício Andrade; Aparecido de Souza; Frederico Furtado; Dan Marchesin
12,Grigori Chapiro; Aparecido Jesuino de Souza
13,JC Mota; AJ Souza; Ronaldo A Garcia; Pedro W Teixeira
14,Aparecido J de Souza; Dan Marchesin
15,Jesus C Da Mota; Aparecido J De Souza
16,G Chapiro; AA Mailybaev; D Marchesin; AJ Souza
17,AJ de Souza
18,AJ de Souza; D Marchesin; P Bedrikovetsky; P Krause
19,Jean Renel François
20,G Chapiro; G Hime; A Mailybaev; D Marchesin; A de Souza
21,Jesus C da Mota; Aparecido J de Souza
22,Arthur V Azevedo; Aparecido J de Souza; Frederico Furtado; Dan Marchesin
23,Arthur Azevedo; AJ de Souza; Frederico Furtado; Dan Marchesin; Bradley Plohr
24,GG Doronin; NA Larkin; AJ De Souza
25,Dan Marchesin; Jesus da Mota; Aparecido de Souza
26,Aparecido J de Souza; Dan Marchesin
27,Aparecido J de Souza; Dan Marchesin
28,Aparecido de Souza; Dan Marchesin
29,Aparecido Jesuino de Souza
30,Gregory Chapiro; Gustavo Hime; Alexei A Mailybaev; Dan Marchesin; Aparecido J de Souza
31,ASL Vaz Jr; P Bedrikovetsky; C Furtado; ALS de Souza
32,AJ DE SOUZA; IY AKKUTLU; D MARCHESIN
33,GG Doronin; NA Larkin; AJ Souza
34,B Plohr; D Marchesin; P Bedrikovetsky; AJ De Souza
35,B PLOHR; D MARCHESIN; P BEDRIKOVETSKY; JE ALTOÉ F; AJ DE SOUZA
36,Jesus Carlos da Mota; Alberto Jose de Sousa; Dan Marchesin; Paula Werneck Teixeira Reuther
37,JC da Mota; AJ de Souza; D Marchesin; PW Teixeira
38,Gleb G Doronin; Aparecido J Souza
39,Junior Tavares; AJ de Souza
40,Gabriel Marques Barbosa; Aparecido Jesuíno de Souza
41,JC da Mota; AJ de Souza
42,Aparecido J de Souza
43,Luciano M Barros; Aparecido J Souza
44,HM Tavares Junior; AJ de Souza
45,AV Azevedo; AJ de Souza; F Furtado; D Marchesin
46,Jesus C da Mota; Aparecido J de Souza
47,Fábio Cruz; Anand Subramanian; Bruno P Bruck; Manuel Iori
48,Bruno P Bruck; Valerio Incerti; Manuel Iori; Matteo Vignoli
49,Bruno P Bruck; Fábio Cruz; Manuel Iori; Anand Subramanian
50,Bruno P Bruck; Jean-François Cordeau; Manuel Iori
51,Bruno P Bruck; Manuel Iori
52,Bruno Petrato Bruck; Andre Gustavo dos Santos; Jose Elias Claudio Arroyo
53,Bruno P Bruck; Jean-François Cordeau; Emma Frejinger
54,Bruno P Bruck; Filippo Castegini; Jean-François Cordeau; Manuel Iori; Tommaso Poncemi; Dario Vezzali
