URL,mime-type,nato-digital,numero-de-paginas,megabytes
data\extrajudicial.tjsp.jus.br\pex-services\publico\arquivos\cartilha-do-extrajudicial.pdf,application/pdf,True,37,5.97
data\extrajudicial.tjsp.jus.br\pex-services\publico\arquivos\manual-regularizacao-fundiaria.pdf,application/pdf,True,345,83.35
data\extrajudicial.tjsp.jus.br\pex-services\publico\arquivos\penhora-online.pdf,application/pdf,True,51,3.98
data\outros\10.pdf,application/pdf,True,3,0.04
data\outros\1004012.pdf,application/pdf,True,7,0.14
data\outros\1004013.pdf,application/pdf,True,4,0.08
data\outros\1004014.pdf,application/pdf,True,12,0.26
data\outros\1004015.pdf,application/pdf,True,5,0.14
data\outros\1004016.pdf,application/pdf,True,6,0.1
data\outros\1004017.pdf,application/pdf,True,5,0.09
data\outros\1004019.pdf,application/pdf,True,5,0.1
data\outros\1004020.pdf,application/pdf,True,6,0.11
data\outros\1004021.pdf,application/pdf,True,3,0.07
data\outros\1004022.pdf,application/pdf,True,9,0.17
data\outros\1004023.pdf,application/pdf,True,7,0.15
data\outros\1004024.pdf,application/pdf,True,5,0.09
data\outros\1004025.pdf,application/pdf,True,12,0.23
data\outros\1004026.pdf,application/pdf,True,4,0.07
data\outros\1004027.pdf,application/pdf,True,9,0.21
data\outros\1004028.pdf,application/pdf,True,11,0.2
data\outros\1004029.pdf,application/pdf,True,8,0.19
data\outros\1004030.pdf,application/pdf,True,7,0.16
data\outros\1004031.pdf,application/pdf,True,4,0.08
data\outros\1004032.pdf,application/pdf,True,4,0.08
data\outros\1004033.pdf,application/pdf,True,6,0.11
data\outros\1004034.pdf,application/pdf,True,9,0.15
data\outros\1004035.pdf,application/pdf,True,11,0.23
data\outros\1004036.pdf,application/pdf,True,5,0.1
data\outros\1004037.pdf,application/pdf,True,7,0.13
data\outros\1004038.pdf,application/pdf,True,5,0.1
data\outros\1004039.pdf,application/pdf,True,6,0.14
data\outros\1004040.pdf,application/pdf,True,4,0.1
data\outros\1004041.pdf,application/pdf,True,10,0.23
data\outros\1004042.pdf,application/pdf,True,11,0.24
data\outros\1004043.pdf,application/pdf,True,3,0.05
data\outros\1004044.pdf,application/pdf,True,6,0.11
data\outros\1004045.pdf,application/pdf,True,4,0.07
data\outros\1004046.pdf,application/pdf,True,4,0.07
data\outros\1004047.pdf,application/pdf,True,5,0.12
data\outros\1004048.pdf,application/pdf,True,7,0.13
data\outros\1004049.pdf,application/pdf,True,4,0.08
data\outros\1004050.pdf,application/pdf,True,5,0.09
data\outros\1004051.pdf,application/pdf,True,6,0.17
data\outros\1004052.pdf,application/pdf,True,5,0.09
data\outros\1004053.pdf,application/pdf,True,5,0.11
data\outros\1004054.pdf,application/pdf,True,4,0.08
data\outros\1004055.pdf,application/pdf,True,3,0.05
data\outros\1004056.pdf,application/pdf,True,4,0.08
data\outros\1004057.pdf,application/pdf,True,5,0.09
data\outros\1004058.pdf,application/pdf,True,6,0.11
data\outros\1004059.pdf,application/pdf,True,10,0.19
data\outros\1004060.pdf,application/pdf,True,6,0.15
data\outros\1004061.pdf,application/pdf,True,5,0.11
data\outros\1004062.pdf,application/pdf,True,4,0.08
data\outros\1004063.pdf,application/pdf,True,4,0.09
data\outros\1004064.pdf,application/pdf,True,4,0.07
data\outros\1004065.pdf,application/pdf,True,3,0.05
data\outros\1004066.pdf,application/pdf,True,5,0.14
data\outros\1004067.pdf,application/pdf,True,2,0.04
data\outros\1004068.pdf,application/pdf,True,3,0.07
data\outros\1004069.pdf,application/pdf,True,5,0.15
data\outros\1004070.pdf,application/pdf,True,3,0.05
data\outros\1004072.pdf,application/pdf,True,11,0.21
data\outros\1011196.pdf,application/pdf,True,5,0.1
data\outros\1011199.pdf,application/pdf,True,10,0.23
data\outros\1011200.pdf,application/pdf,True,5,0.1
data\outros\1011201.pdf,application/pdf,True,4,0.07
data\outros\1011202.pdf,application/pdf,True,2,0.05
data\outros\1011203.pdf,application/pdf,True,5,0.11
data\outros\1011204.pdf,application/pdf,True,3,0.07
data\outros\1011205.pdf,application/pdf,True,5,0.11
data\outros\1011206.pdf,application/pdf,True,4,0.08
data\outros\1011207.pdf,application/pdf,True,7,0.14
data\outros\1011208.pdf,application/pdf,True,6,0.11
data\outros\1011209.pdf,application/pdf,True,4,0.08
data\outros\1011210.pdf,application/pdf,True,9,0.2
data\outros\1011211.pdf,application/pdf,True,4,0.06
data\outros\1011212.pdf,application/pdf,True,7,0.14
data\outros\1011213.pdf,application/pdf,True,9,0.2
data\outros\1011214.pdf,application/pdf,True,6,0.11
data\outros\1011215.pdf,application/pdf,True,5,0.1
data\outros\1011216.pdf,application/pdf,True,10,0.21
data\outros\1011217.pdf,application/pdf,True,10,0.25
data\outros\1011218.pdf,application/pdf,True,4,0.08
data\outros\1011219.pdf,application/pdf,True,9,0.18
data\outros\1011220.pdf,application/pdf,True,4,0.07
data\outros\1011221.pdf,application/pdf,True,5,0.09
data\outros\1011222.pdf,application/pdf,True,3,0.04
data\outros\1011223.pdf,application/pdf,True,7,0.14
data\outros\1011224.pdf,application/pdf,True,7,0.14
data\outros\1011225.pdf,application/pdf,True,8,0.15
data\outros\1011226.pdf,application/pdf,True,4,0.07
data\outros\1011227.pdf,application/pdf,True,3,0.07
data\outros\1011228.pdf,application/pdf,True,3,0.05
data\outros\1011229.pdf,application/pdf,True,3,0.06
data\outros\1011230.pdf,application/pdf,True,4,0.06
data\outros\1011231.pdf,application/pdf,True,10,0.24
data\outros\1011232.pdf,application/pdf,True,2,0.04
data\outros\1011233.pdf,application/pdf,True,4,0.09
data\outros\1011234.pdf,application/pdf,True,3,0.05
data\outros\1011235.pdf,application/pdf,True,4,0.09
data\outros\1011236.pdf,application/pdf,True,6,0.11
data\outros\1011237.pdf,application/pdf,True,4,0.09
data\outros\1011238.pdf,application/pdf,True,5,0.11
data\outros\1011239.pdf,application/pdf,True,5,0.12
data\outros\1011240.pdf,application/pdf,True,7,0.21
data\outros\1011241.pdf,application/pdf,True,5,0.11
data\outros\1011242.pdf,application/pdf,True,5,0.09
data\outros\1011243.pdf,application/pdf,True,4,0.08
data\outros\1011244.pdf,application/pdf,True,5,0.09
data\outros\1011245.pdf,application/pdf,True,5,0.1
data\outros\1011246.pdf,application/pdf,True,4,0.07
data\outros\1011247.pdf,application/pdf,True,3,0.05
data\outros\1011248.pdf,application/pdf,True,3,0.05
data\outros\1011249.pdf,application/pdf,True,6,0.1
data\outros\1011250.pdf,application/pdf,True,5,0.09
data\outros\1011251.pdf,application/pdf,True,6,0.13
data\outros\1011252.pdf,application/pdf,True,7,0.16
data\outros\1011253.pdf,application/pdf,True,3,0.08
